mode,pred_len,seed,window_start,sq_err,abs_err
CD,96,42,11925,0.24149855971336365,0.3577255606651306
CD,96,42,11926,0.23974564671516418,0.3530021905899048
CD,96,42,11927,0.24073857069015503,0.3507830798625946
CD,96,42,11928,0.24317537248134613,0.3495790362358093
CD,96,42,11929,0.23477645218372345,0.35432931780815125
CD,96,42,11930,0.25612178444862366,0.3688870370388031
CD,96,42,11931,0.26342833042144775,0.3724471628665924
CD,96,42,11932,0.26385498046875,0.37725573778152466
CD,96,42,11933,0.27115464210510254,0.3764232099056244
CD,96,42,11934,0.26686954498291016,0.3686676025390625
CD,96,42,11935,0.26900774240493774,0.371163934469223
CD,96,42,11936,0.2611912786960602,0.36170822381973267
CD,96,42,11937,0.23792703449726105,0.3567020297050476
CD,96,42,11938,0.24164767563343048,0.3546464741230011
CD,96,42,11939,0.23875011503696442,0.3529084622859955
CD,96,42,11940,0.2379874587059021,0.3529340326786041
CD,96,42,11941,0.23199781775474548,0.338872492313385
CD,96,42,11942,0.22937175631523132,0.3332376778125763
CD,96,42,11943,0.2217283695936203,0.32864415645599365
CD,96,42,11944,0.2033073604106903,0.3120720386505127
CD,96,42,11945,0.19172081351280212,0.30761465430259705
CD,96,42,11946,0.1926385760307312,0.30682292580604553
CD,96,42,11947,0.18129268288612366,0.29709726572036743
CD,96,42,11948,0.184161975979805,0.2984655797481537
CD,96,42,11949,0.18107761442661285,0.29459312558174133
CD,96,42,11950,0.18128655850887299,0.2936509847640991
CD,96,42,11951,0.17759959399700165,0.2965095639228821
CD,96,42,11952,0.17015713453292847,0.28927403688430786
CD,96,42,11953,0.17900308966636658,0.2988221049308777
CD,96,42,11954,0.17374227941036224,0.2975958287715912
CD,96,42,11955,0.18601840734481812,0.3139249384403229
CD,96,42,11956,0.17774736881256104,0.30360105633735657
CD,96,42,11957,0.17407430708408356,0.30046749114990234
CD,96,42,11958,0.17178496718406677,0.2943224608898163
CD,96,42,11959,0.16498781740665436,0.2937168478965759
CD,96,42,11960,0.15200099349021912,0.2768420875072479
CD,96,42,11961,0.17061124742031097,0.29366961121559143
CD,96,42,11962,0.16669733822345734,0.2908940017223358
CD,96,42,11963,0.17880991101264954,0.2990935146808624
CD,96,42,11964,0.17322520911693573,0.2959204614162445
CD,96,42,11965,0.15723547339439392,0.2817959189414978
CD,96,42,11966,0.16317012906074524,0.2772945463657379
CD,96,42,11967,0.1478823721408844,0.2732609808444977
CD,96,42,11968,0.14958223700523376,0.26585566997528076
CD,96,42,11969,0.16903050243854523,0.2822602391242981
CD,96,42,11970,0.15762662887573242,0.27587276697158813
CD,96,42,11971,0.15631069242954254,0.27704569697380066
CD,96,42,11972,0.1603827327489853,0.2789464294910431
CD,96,42,11973,0.15640215575695038,0.275707483291626
